symbol,timestamp_ms,timestamp_utc,best_bid,best_ask,spread_pct,bid_depth_quote,ask_depth_quote,depth_imbalance
ETH-USDT-SWAP,1783395121359,2026-07-07 03:32:01,1773.4,1773.41,5.63886985769799e-06,16412828.0951,9137401.8368,0.28474993288481043
ETH-USDT-SWAP,1783396560259,2026-07-07 03:56:00,1769.65,1769.66,5.650818944930455e-06,5063167.7225,19045492.0144,-0.5799710330018499
