timestamp,open,high,low,close,volume
1772334,88.03,88.21,87.6,87.99,163368.93
1772337,88.0,88.22,86.86,87.51,749754.97
1772341,87.51,88.03,87.15,87.23,319424.07999999996
1772344,87.23,87.35,86.13,86.64,620581.6
1772348,86.64,86.87,86.27,86.59,207007.84999999998
1772352,86.59,86.78,85.02,85.18,533546.79
1772355,85.18,85.82,84.77,84.95,586546.17
1772359,84.95,85.63,84.67,85.2,342968.42
1772362,85.2,85.5,84.94,85.14,166939.84
1772366,85.15,85.36,84.72,84.83,234850.04
1772370,84.83,86.99,84.45,86.05,1004394.0700000001
1772373,86.04,86.85,85.36,85.75,763156.87
1772377,85.76,86.65,85.55,85.61,420917.24
1772380,85.61,86.03,83.54,83.95,945299.26
1772384,83.96,84.24,83.11,83.85,704427.11
1772388,83.85,84.96,83.81,83.89,531926.34
1772391,83.89,83.97,83.01,83.19,358488.18
1772395,83.18,83.22,81.64,81.93,739786.29
1772398,81.94,82.97,81.88,82.88,363774.47
1772402,82.88,84.07,82.32,82.67,722481.89
1772406,82.68,84.04,82.45,83.56,458715.25
1772409,83.56,85.2,83.42,84.95,622888.19
1772413,84.95,86.13,84.35,84.58,601715.02
1772416,84.58,84.73,83.43,84.1,476420.14
1772420,84.1,85.07,83.79,84.73,399940.87
1772424,84.74,84.78,84.04,84.26,294723.76
1772427,84.26,84.65,83.78,84.16,258997.75
1772431,84.17,84.19,82.83,83.19,639888.55
1772434,83.19,83.25,82.31,82.9,476871.97
1772438,82.91,83.59,82.31,83.39,608053.64
1772442,83.39,84.1,83.28,83.61,479305.46
1772445,83.6,84.08,83.32,83.87,351047.31
1772449,83.87,84.27,83.41,83.86,427068.06
1772452,83.85,84.11,83.53,83.65,260982.43
1772456,83.65,83.8,82.85,83.02,502404.88
1772460,83.02,85.9,82.72,85.62,1439928.78
1772463,85.61,88.93,85.42,88.75,2477219.2800000003
1772467,88.75,90.27,88.42,88.81,1638416.78
1772470,88.81,88.96,86.34,87.58,1027783.01
1772474,87.57,87.8,86.64,87.27,509678.18
1772478,87.26,87.75,86.79,87.6,406889.94
1772481,87.59,88.11,86.8,87.5,510415.77999999997
1772485,87.51,87.67,87.09,87.49,281888.75
1772488,87.5,88.25,87.25,87.98,223390.63999999998
1772492,87.97,88.03,86.25,86.6,518069.11
1772496,86.59,87.26,86.04,86.86,614655.99
1772499,86.86,87.14,86.1,86.1,272540.56
1772503,86.11,86.29,85.15,86.14,507206.32
1772506,86.14,86.58,85.84,86.23,215901.43
1772510,86.24,86.4,85.59,85.8,184942.01
1772514,85.8,86.79,85.35,85.73,426323.58999999997
1772517,85.73,85.91,85.33,85.77,255881.02
1772521,85.78,86.24,85.35,85.52,381005.19
1772524,85.51,85.72,83.88,84.2,777558.39
1772528,84.19,84.95,83.96,84.24,521144.83999999997
1772532,84.23,84.51,83.63,83.86,583879.02
1772535,83.86,84.3,83.71,84.14,475621.97
1772539,84.14,85.31,84.07,84.35,840678.14
1772542,84.35,84.41,83.11,83.57,736942.55
1772546,83.56,84.38,82.42,83.19,1194692.3399999999
1772550,83.19,85.16,82.98,84.98,1075404.69
1772553,84.97,87.3,84.24,85.34,1861813.41
1772557,85.34,85.43,84.07,85.13,725836.72
1772560,85.14,85.98,84.48,85.34,504365.81000000006
1772564,85.35,85.72,84.62,85.02,484990.19
1772568,85.03,85.42,84.61,84.82,318867.52
1772571,84.81,85.15,84.13,85.07,333379.51
1772575,85.07,86.6,85.06,86.23,377335.37
1772578,86.23,87.42,86.14,86.92,753735.23
1772582,86.93,87.36,86.23,86.59,521936.27
1772586,86.58,88.03,86.44,87.22,707722.18
1772589,87.22,87.42,86.49,87.02,351417.92000000004
1772593,87.02,87.02,85.11,85.72,829492.61
1772596,85.72,85.88,84.77,85.34,481968.28
1772600,85.34,85.93,84.73,85.62,512790.13
1772604,85.62,85.99,84.91,85.55,680845.3300000001
1772607,85.55,87.46,85.44,87.37,641590.02
1772611,87.37,89.91,86.94,89.68,1338288.99
1772614,89.68,91.43,89.19,90.5,1682244.5
1772618,90.49,91.0,89.83,90.11,871671.63
1772622,90.1,90.62,89.37,89.71,610483.33
1772625,89.72,89.82,88.64,89.36,651765.47
1772629,89.36,90.11,89.25,89.94,558368.21
1772632,89.94,91.7,89.41,90.11,1677348.75
1772636,90.11,93.14,90.09,92.86,1942563.6800000002
1772640,92.86,93.08,90.89,91.48,1200305.79
1772643,91.49,92.2,90.57,91.49,641542.96
1772647,91.49,92.45,91.1,92.34,338860.03
1772650,92.34,94.05,92.24,93.14,1118349.18
1772654,93.14,93.72,92.66,92.81,580551.22
1772658,92.82,92.93,92.1,92.28,334725.32
1772661,92.28,92.86,91.1,91.28,592681.21
1772665,91.28,91.38,90.23,90.8,399489.13
1772668,90.79,91.33,90.67,90.72,240857.72
1772672,90.72,91.36,89.67,89.92,664562.3099999999
1772676,89.92,90.62,89.89,90.15,428374.08999999997
1772679,90.14,90.48,89.55,89.97,344725.13
1772683,89.97,90.69,89.84,90.34,307380.64
1772686,90.34,90.58,89.97,90.13,207119.54
1772690,90.13,90.96,89.62,90.83,347947.99
1772694,90.83,91.24,89.64,90.11,480245.92
1772697,90.11,90.67,89.62,90.58,362407.26
1772701,90.59,91.89,90.55,91.15,640093.01
1772704,91.15,92.9,90.95,92.59,716728.4
1772708,92.58,92.72,91.58,91.75,414172.04000000004
1772712,91.75,92.15,91.23,91.93,423753.6
1772715,91.92,92.01,90.36,90.75,626895.0900000001
1772719,90.75,91.44,89.77,90.95,761488.13
1772722,90.96,91.1,88.76,89.57,1096204.3900000001
1772726,89.57,89.59,87.86,88.9,927511.73
1772730,88.91,89.37,87.88,88.08,537911.42
1772733,88.07,88.86,87.96,88.77,311543.2
1772737,88.77,89.36,88.63,88.69,269172.42
1772740,88.7,89.54,88.5,89.16,367067.44
1772744,89.15,89.8,88.83,89.08,266393.73
1772748,89.07,89.37,88.81,89.05,146734.32
1772751,89.04,89.15,88.57,88.73,155242.78
1772755,88.74,89.0,88.52,88.81,117845.68
1772758,88.8,89.22,87.95,89.07,333253.89
1772762,89.07,89.26,88.13,88.31,625122.2000000001
1772766,88.31,88.64,88.07,88.35,199232.55
1772769,88.35,88.53,87.61,88.1,277966.01
1772773,88.1,88.2,87.44,87.84,400648.7
1772776,87.84,88.4,87.62,88.02,234267.02
1772780,88.03,88.86,87.73,88.64,320753.61
1772784,88.63,88.63,88.12,88.3,191417.58000000002
1772787,88.3,88.43,87.11,87.43,416285.95
1772791,87.43,87.89,87.34,87.64,229631.33000000002
1772794,87.65,87.94,87.05,87.2,264692.15
1772798,87.2,87.22,85.85,86.43,906846.45
1772802,86.43,87.06,85.5,85.53,938191.5
1772805,85.53,85.7,83.88,84.29,1413081.52
1772809,84.28,85.28,84.13,84.57,710307.9299999999
1772812,84.57,84.97,84.03,84.3,419950.97
1772816,84.3,84.64,83.56,84.15,494655.45999999996
1772820,84.15,85.53,84.12,85.21,397097.26
1772823,85.21,85.83,85.08,85.14,250795.93
1772827,85.14,85.4,84.51,84.96,262718.04
1772830,84.96,85.06,84.38,84.68,164853.06
1772834,84.69,85.01,84.48,84.91,127654.72
1772838,84.92,85.0,84.53,84.65,160397.95
1772841,84.65,85.03,84.45,84.7,329515.71
1772845,84.7,84.85,84.53,84.66,105487.54
1772848,84.67,84.7,84.27,84.62,153666.36
1772852,84.61,85.01,84.3,84.48,207274.11
1772856,84.49,84.51,83.87,84.2,227522.1
1772859,84.2,84.44,84.03,84.29,108209.63
1772863,84.28,84.28,83.83,83.98,137680.49
1772866,83.99,84.41,83.84,84.28,200189.28
1772870,84.27,84.61,84.08,84.31,207284.52
1772874,84.32,84.63,84.15,84.51,131497.41
1772877,84.52,84.7,84.34,84.42,102409.91
1772881,84.42,84.85,84.2,84.59,200039.83000000002
1772884,84.6,84.72,84.2,84.23,129770.18
1772888,84.22,84.49,84.03,84.23,154932.26
1772892,84.22,84.36,83.56,84.16,350915.04
1772895,84.16,84.17,83.34,83.69,290563.33
1772899,83.68,83.74,83.43,83.51,124039.47
1772902,83.51,84.02,83.48,83.57,142241.11
1772906,83.57,83.58,82.95,83.32,338691.02999999997
1772910,83.33,83.33,82.22,82.46,535919.3300000001
1772913,82.47,83.07,82.45,82.96,175830.83000000002
1772917,82.97,83.24,82.83,83.23,142901.91
1772920,83.23,83.27,82.6,82.92,119512.91
1772924,82.93,83.2,82.86,83.17,93359.35
1772928,83.17,83.43,82.84,83.0,206812.84
1772931,83.01,83.16,82.64,82.91,131080.14
1772935,82.92,83.04,82.02,82.32,367597.05
1772938,82.33,82.69,82.21,82.27,231469.92
1772942,82.28,82.5,81.66,81.89,295771.61
1772946,81.9,82.74,81.88,82.44,262304.83999999997
1772949,82.44,82.57,82.21,82.4,154510.63
1772953,82.4,83.05,82.35,82.88,258169.63
1772956,82.89,83.07,82.46,83.04,183334.81
1772960,83.05,83.33,82.72,83.1,262955.04
1772964,83.11,84.06,83.1,83.6,388180.70999999996
1772967,83.59,83.6,82.57,82.74,422525.8
1772971,82.74,82.94,81.54,82.25,619464.4299999999
1772974,82.25,82.41,81.12,82.03,666154.23
1772978,82.02,82.32,81.88,82.26,260725.68
1772982,82.26,82.36,81.78,82.0,195774.09999999998
1772985,82.0,82.11,81.29,81.48,242803.75
1772989,81.47,81.95,81.32,81.62,224169.15
1772992,81.63,81.74,81.24,81.54,148663.12
1772996,81.54,82.61,81.43,82.42,339333.95999999996
1773000,82.42,82.91,82.04,82.26,238260.99
1773003,82.27,82.37,81.6,82.2,202978.96
1773007,82.19,82.47,80.16,81.93,1133812.08
1773010,81.92,82.38,81.43,81.54,328986.15
1773014,81.55,83.25,81.49,82.3,599753.77
1773018,82.29,82.86,81.81,82.05,387434.21
1773021,82.04,82.9,81.59,82.61,334329.56
1773025,82.61,84.48,82.56,83.1,888916.22
1773028,83.1,83.84,83.03,83.14,285333.15
1773032,83.14,84.58,83.08,84.23,536254.14
1773036,84.23,84.25,83.03,83.08,356674.0
1773039,83.07,83.22,82.25,83.11,436876.31
1773043,83.12,83.81,82.87,83.67,374847.97000000003
1773046,83.67,84.56,83.26,83.97,501308.95
1773050,83.97,84.19,83.44,83.69,262707.81
1773054,83.68,83.87,83.03,83.51,262540.0
1773057,83.52,84.17,83.34,83.96,380284.03
1773061,83.96,85.7,83.93,85.1,1139087.97
1773064,85.1,85.69,84.52,85.26,844143.01
1773068,85.26,85.42,84.59,85.0,417124.91000000003
1773072,85.0,85.62,84.66,85.09,421572.64
1773075,85.09,85.37,84.26,85.04,468622.63
1773079,85.04,85.53,84.41,85.15,489500.62
1773082,85.15,87.03,85.01,85.92,905709.89
1773086,85.93,86.14,85.23,85.75,303085.4
1773090,85.74,86.31,85.62,85.96,226299.34
1773093,85.96,86.26,85.52,85.69,304416.63
1773097,85.68,85.94,84.78,84.9,337591.63
1773100,84.91,85.93,84.78,85.52,326918.03
1773104,85.52,85.93,85.06,85.69,216694.91
1773108,85.68,86.88,85.41,86.58,680249.23
1773111,86.58,86.72,85.46,85.52,423026.83999999997
1773115,85.52,86.61,85.34,86.49,395663.33
1773118,86.49,86.92,86.29,86.36,325454.13
1773122,86.37,86.66,85.93,86.3,280062.75
1773126,86.3,86.86,86.13,86.65,388133.42
1773129,86.66,87.39,86.53,86.67,650224.47
1773133,86.67,87.44,86.61,87.19,428912.89
1773136,87.18,87.65,86.76,87.06,353364.81
1773140,87.06,87.16,86.57,86.75,269956.87
1773144,86.76,86.82,86.23,86.64,265356.09
1773147,86.64,87.26,85.69,86.02,746655.26
1773151,86.03,88.2,84.85,88.06,1358269.82
1773154,88.06,88.58,87.23,88.32,873825.02
1773158,88.31,88.69,87.62,88.36,657813.47
1773162,88.36,88.78,87.59,87.9,462300.11
1773165,87.9,87.97,86.02,86.18,853094.76
1773169,86.18,86.42,85.58,85.97,412781.61
1773172,85.97,86.35,85.88,86.17,296235.06
1773176,86.18,86.38,85.2,85.66,327239.73
