timestamp,open,high,low,close,volume
1704067,2282.75,2298.3,2281.84,2296.47,56512.8
1704070,2296.48,2308.55,2293.84,2304.41,46881.1
1704074,2304.42,2305.72,2291.84,2294.01,34107.5
1704078,2294.02,2295.59,2271.0,2274.63,73573.4
1704081,2274.64,2280.74,2265.3,2280.65,63717.5
1704085,2280.66,2285.01,2273.46,2277.19,39781.9
1704088,2277.19,2284.35,2274.72,2282.68,51135.8
1704092,2282.69,2288.8,2282.04,2285.15,32374.3
1704096,2285.16,2288.27,2280.61,2287.96,25674.8
1704099,2287.96,2301.23,2287.64,2300.98,52921.2
1704103,2300.98,2304.2,2297.69,2302.75,40111.4
1704106,2302.68,2306.3,2299.59,2305.4,32481.0
1704110,2305.4,2308.38,2300.1,2300.59,41097.4
1704114,2300.59,2309.34,2298.71,2305.03,28715.8
1704117,2305.03,2306.2,2295.75,2301.92,43332.9
1704121,2301.91,2320.0,2300.13,2315.93,81668.9
1704124,2315.94,2320.84,2307.29,2310.66,64335.8
1704128,2310.92,2318.29,2306.89,2314.54,43830.4
1704132,2314.54,2333.4,2314.54,2327.6,80560.3
1704135,2327.6,2341.86,2322.6,2338.08,57643.7
1704139,2338.18,2350.0,2336.0,2341.89,59247.5
1704142,2341.89,2347.44,2332.85,2339.14,35193.6
1704146,2339.26,2340.55,2324.15,2335.13,32422.4
1704150,2335.13,2353.48,2335.13,2353.21,73240.1
1704153,2353.2,2395.0,2348.5,2391.05,227791.2
1704157,2391.05,2401.3,2372.6,2380.38,134415.7
1704160,2380.37,2384.29,2375.52,2383.98,45680.2
1704164,2383.97,2389.59,2372.84,2387.0,64663.7
1704168,2386.99,2390.89,2379.26,2388.0,39555.1
1704171,2388.0,2392.96,2378.07,2378.47,43810.2
1704175,2378.59,2385.52,2374.51,2374.6,36385.6
1704178,2374.59,2390.0,2374.59,2386.33,59494.6
1704182,2386.33,2432.76,2380.5,2427.46,221451.0
1704186,2427.46,2429.23,2411.93,2415.03,90908.2
1704189,2415.02,2417.85,2394.01,2399.68,92324.0
1704193,2399.67,2404.33,2380.5,2392.58,103501.1
1704196,2392.58,2405.99,2383.81,2388.2,101203.70000000001
1704200,2388.2,2402.88,2384.0,2399.48,67907.8
1704204,2399.48,2404.4,2355.8,2368.37,228730.8
1704207,2368.37,2371.93,2353.0,2357.79,147860.9
1704211,2357.8,2370.77,2350.69,2368.43,115229.7
1704214,2368.42,2368.82,2351.63,2358.18,67598.7
1704218,2358.18,2371.0,2355.7,2366.28,44028.799999999996
1704222,2366.29,2373.9,2354.84,2369.75,50370.799999999996
1704225,2369.75,2381.25,2358.75,2360.38,66458.9
1704229,2360.38,2367.21,2336.97,2367.21,120131.5
1704232,2367.2,2373.08,2357.57,2359.52,30166.7
1704236,2359.52,2362.97,2350.88,2355.39,52010.0
1704240,2355.4,2367.87,2347.27,2361.8,70051.7
1704243,2361.8,2376.01,2360.37,2373.54,47101.0
1704247,2373.7,2385.55,2367.39,2369.05,67357.6
1704250,2369.15,2371.0,2364.35,2368.9,23949.6
1704254,2369.0,2375.0,2363.42,2371.0,35885.4
